startPoint,angle,totalUsage,uncutTile,cutTile,cuts,trims,time
43461_20099,135,101,46,102,118,145,0.735
43561_17599,315,101,48,98,112,136,0.375
43411_20099,135,101,46,106,116,166,0.875
43561_17599,45,101,51,94,108,136,0.39
43411_20199,45,101,54,100,108,157,0.859
