startPoint,angle,totalUsage,uncutTile,cutTile,cuts,trims,time
39211_21549,180,174,106,147,161,189,1.11
41461_21649,0,175,95,145,173,174,1.078
39911_21649,0,175,96,146,169,182,1.047
38611_16199,0,175,108,138,155,172,0.922
39911_21549,180,175,104,148,164,183,1.719
