startPoint,angle,totalUsage,uncutTile,cutTile,cuts,trims,time
40561_19999,270,101,60,75,111,54,0.266
38611_20199,90,101,68,67,95,43,0.297
42211_20099,0,101,58,77,110,55,0.297
43461_20099,270,101,62,79,115,51,0.328
43561_17599,0,101,60,69,102,46,0.328
