startPoint,angle,totalUsage,uncutTile,cutTile,cuts,trims,time
42040_22491,180,201,127,122,217,32,0.938
41611_17099,180,201,131,123,209,40,1.172
43461_20099,180,202,140,120,198,42,1.203
39911_21649,180,202,131,118,207,31,0.953
39911_21549,180,202,131,121,209,36,0.875
