startPoint,angle,totalUsage,uncutTile,cutTile,cuts,trims,time
38611_19999,90,134,82,99,154,55,0.75
43461_20099,270,134,81,105,167,47,0.906
43411_20099,270,135,77,103,167,46,0.719
41591_21649,270,135,80,103,163,62,0.813
41461_21549,0,135,78,109,181,53,0.86
