startPoint,angle,totalUsage,uncutTile,cutTile,cuts,trims,time
39211_21649,90,199,137,118,186,55,0.656
41361_20199,90,200,146,111,167,48,1
41658_21549,90,200,145,117,176,60,0.75
41361_19999,270,200,142,114,176,48,0.828
42211_20099,270,200,137,115,180,63,0.984
